X	Y	Z
20	179	0.002704
15	200	0.000792
36	600	0.001324
11	79	0.006087
16	141	0.005015
21	321	0.010203
6	31	0.000650
18	179	0.016959
20	375	0.004788
10	80	0.000659
10	60	0.009417
10	50	0.002398
10	40	0.008742
10	10	0.001109
10	99	0.013285
21	400	0.001413
21	100	0.001393
21	200	0.001121
21	400	0.004835
15	200	0.016364
11	83	0.003850
6	17	0.001079
6	36	0.000386
6	28	0.005377
8	18	0.003375
8	60	0.011444
8	50	0.010036
8	31	0.001037
50	2230	0.003461
50	1289	0.007609
50	1899	0.001333
50	50	0.002901
50	500	0.003535
100	7000	0.056797
97	5899	0.003838
90	2345	0.003118
90	178	0.003176
110	10000	0.024019
75	5000	0.006004
75	1000	0.025969
60	3500	0.003343
500	20000	0.051348
500	10000	0.115675
500	100	0.066436
2	0	0.000170
3	0	0.000065
3	3	0.000000
3	4	0.000000
3	5	0.000000
4	0	0.000028
4	5	0.000000
4	5	0.000001
4	6	0.000000
4	8	0.000000
4	10	0.000000
5	0	0.000029
5	6	0.000000
5	7	0.000000
5	8	0.000000
5	10	0.000000
5	12	0.000000
5	16	0.000000
6	0	0.000028
6	7	0.000000
6	8	0.000000
6	10	0.000000
6	12	0.000000
6	15	0.000000
6	20	0.000001
7	0	0.000033
7	8	0.000000
7	10	0.000000
7	11	0.000000
7	14	0.000001
7	17	0.000000
7	23	0.000000
7	35	0.000000
8	0	0.000033
8	10	0.000000
8	11	0.000000
8	13	0.000000
8	16	0.000000
8	20	0.000000
8	26	0.000000
8	40	0.000000
9	0	0.000032
9	11	0.000000
9	12	0.000000
9	15	0.000000
9	18	0.000000
9	22	0.000000
9	30	0.000000
9	45	0.000000
10	0	0.000047
10	12	0.000000
10	14	0.000000
10	16	0.000000
10	20	0.000000
10	25	0.000000
10	33	0.000000
10	50	0.000000
11	0	0.000053
11	13	0.000000
11	15	0.000000
11	18	0.000000
11	22	0.000000
11	27	0.000000
11	36	0.000000
11	55	0.000000
12	0	0.000047
12	15	0.000001
12	17	0.000000
12	20	0.000000
12	24	0.000000
12	30	0.000000
12	40	0.000000
12	60	0.000000
12	120	0.000000
12	-164348240	0.000000
12	-119	0.000000
12	-59	0.000000
12	-39	0.000000
12	-29	0.000000
12	-23	0.000000
12	-19	0.000000
12	-17	0.000001
12	-14	0.000000
12	-13	0.000000
12	-11	0.000000
12	-10	0.000000
12	-9	0.000000
12	-9	0.000000
12	-8	0.000000
12	-7	0.000000
12	-7	0.000001
12	-7	0.000001
12	-6	0.000000
12	-6	0.000000
12	-5	0.000000
12	-5	0.000000
12	-5	0.000000
12	-5	0.000000
12	-5	0.000000
12	-4	0.000000
12	-4	0.000000
12	-4	0.000000
12	-4	0.000000
12	-4	0.000001
12	-4	0.000000
12	-3	0.000001
12	-3	0.000000
12	-3	0.000000
12	-3	0.000000
12	-3	0.000000
12	-3	0.000000
12	-3	0.000000
12	-3	0.000000
12	-3	0.000000
12	-3	0.000000
12	-2	0.000001
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-2	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000001
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000001
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000001
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000000
12	-1	0.000001
