X	Y	Z
30	70.000008	0.000751
30	80.000008	0.000545
30	90.000008	0.000601
31	10.000002	0.000625
31	20.000004	0.007208
31	30.000008	0.005909
31	40.000008	0.000585
31	50.000011	0.000911
31	60.000008	0.001754
31	70.000008	0.004025
31	80.000008	0.001870
31	90.000008	0.001365
32	10.000002	0.004027
32	20.000004	0.001437
32	30.000008	0.000933
32	40.000008	0.005587
32	50.000011	0.000346
32	60.000008	0.000372
32	70.000008	0.000364
32	80.000008	0.000390
32	90.000008	0.000477
33	10.000002	0.002083
33	20.000004	0.000391
33	30.000008	0.000387
33	40.000008	0.000370
33	50.000011	0.000288
33	60.000008	0.000400
33	70.000008	0.000359
33	80.000008	0.000441
33	90.000008	0.000522
34	10.000002	0.000363
34	20.000004	0.000282
34	30.000008	0.000380
34	40.000008	0.000354
34	50.000011	0.000356
34	60.000008	0.000316
34	70.000008	0.000405
34	80.000008	0.000402
34	90.000008	0.000615
35	10.000002	0.000388
35	20.000004	0.000321
35	30.000008	0.000347
35	40.000008	0.000330
35	50.000011	0.000389
35	60.000008	0.000404
35	70.000008	0.000372
35	80.000008	0.000428
35	90.000008	0.000570
36	10.000002	0.000430
36	20.000004	0.000352
36	30.000008	0.000395
36	40.000008	0.000391
36	50.000011	0.000358
36	60.000008	0.000453
36	70.000008	0.000380
36	80.000008	0.000486
36	90.000008	0.000658
37	10.000002	0.000474
37	20.000004	0.000438
37	30.000008	0.000724
37	40.000008	0.000431
37	50.000011	0.000479
37	60.000008	0.000478
37	70.000008	0.000444
37	80.000008	0.000480
37	90.000008	0.000648
38	10.000002	0.000502
38	20.000004	0.000425
38	30.000008	0.002600
38	40.000008	0.000469
38	50.000011	0.000518
38	60.000008	0.000430
38	70.000008	0.000574
38	80.000008	0.000542
38	90.000008	0.000718
39	10.000002	0.000559
39	20.000004	0.000533
39	30.000008	0.001101
39	40.000008	0.000507
39	50.000011	0.000884
39	60.000008	0.000610
39	70.000008	0.001157
39	80.000008	0.001889
39	90.000008	0.004629
40	10.000002	0.001526
40	20.000004	0.001305
40	30.000008	0.000659
40	40.000008	0.004398
40	50.000011	0.002116
40	60.000008	0.001051
40	70.000008	0.000795
40	80.000008	0.000839
40	90.000008	0.001342
41	10.000002	0.000925
41	20.000004	0.009348
41	30.000008	0.000876
41	40.000008	0.000823
41	50.000011	0.001027
41	60.000008	0.000917
41	70.000008	0.001092
41	80.000008	0.001350
41	90.000008	0.001792
42	10.000002	0.018550
42	20.000004	0.001211
42	30.000008	0.000956
42	40.000008	0.000899
42	50.000011	0.001626
42	60.000008	0.003420
42	70.000008	0.001032
42	80.000008	0.001329
42	90.000008	0.001190
43	10.000002	0.002045
43	20.000004	0.001561
43	30.000008	0.001290
43	40.000008	0.009940
43	50.000011	0.001500
43	60.000008	0.001060
43	70.000008	0.001437
43	80.000008	0.001190
43	90.000008	0.002076
